OrderNumber,OrderQty,UnitPrice,OrderLineNumber,Sales,OrderDate,Status,QTR_ID,Month_ID,Year,ProductLine,CustomerName,City,State,Country,Region,Revenue
10423,10,88.14,1,881.40,2005-05-30,In Process,2,5,2005,Vintage Cars,Petit Auto,Bruxelles,\N,Belgium,EMEA,881.40
10408,15,36.93,1,553.95,2005-04-22,Shipped,2,4,2005,Vintage Cars,Tokyo Collectables,Tokyo,Minato-ku,Japan,APAC,553.95
10135,20,35.87,1,717.40,2003-07-02,Shipped,3,7,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,717.40
10156,20,41.02,1,820.40,2003-10-08,Shipped,4,10,2003,Vintage Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,820.40
10249,20,67.82,1,1356.40,2004-05-08,Shipped,2,5,2004,Planes,Cambridge Collectables Co.,Cambridge,MA,USA,NA,1356.40
10144,20,81.86,1,1637.20,2003-08-13,Shipped,3,8,2003,Vintage Cars,Royale Belge,Wallonia,Charleroi,Belgium,EMEA,1637.20
10149,20,90.57,1,1811.40,2003-09-12,Shipped,3,9,2003,Vintage Cars,Signal Collectibles Ltd.,Brisbane,CA,USA,NA,1811.40
10134,20,100.00,1,2711.20,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,Paris,\N,France,EMEA,2000.00
10314,20,100.00,1,2731.80,2004-10-22,Shipped,4,10,2004,Vintage Cars,Heintze Collectables,Aaarhus,\N,Denmark,EMEA,2000.00
10381,20,100.00,1,2952.00,2005-02-17,Shipped,1,2,2005,Trucks and Buses,Corporate Gift Ideas Co.,San Francisco,CA,USA,NA,2000.00
10160,20,100.00,1,3996.40,2003-10-11,Shipped,4,10,2003,Classic Cars,Men 'R' US Retailers,Los Angeles,Los Angeles,USA,NA,2000.00
10308,20,100.00,1,4570.40,2004-10-15,Shipped,4,10,2004,Motorcycles,Mini Classics,White Plains,NY,USA,NA,2000.00
10226,21,60.26,1,1265.46,2004-02-26,Shipped,1,2,2004,Classic Cars,Collectable Mini Designs Co.,San Diego,CA,USA,NA,1265.46
10415,21,67.82,1,1424.22,2005-05-09,Disputed,2,5,2005,Planes,Australian Collectables,Melbourne,Glen Waverly,Australia,APAC,1424.22
10248,21,73.98,1,1553.58,2004-05-07,Cancelled,2,5,2004,Ships,Land of Toys Inc.,NYC,NY,USA,NA,1553.58
10327,21,96.31,1,2022.51,2004-11-10,Resolved,4,11,2004,Ships,Danish Wholesale Imports,Kobenhavn,\N,Denmark,EMEA,2022.51
10107,21,100.00,1,3036.60,2003-02-24,Shipped,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,NY,USA,NA,2100.00
10331,21,100.00,1,3135.93,2004-11-17,Shipped,4,11,2004,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,PA,USA,NA,2100.00
10163,21,100.00,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,Classic Legends Inc.,NYC,NY,USA,NA,2100.00
10124,22,45.25,1,995.50,2003-05-21,Shipped,2,5,2003,Vintage Cars,Signal Gift Stores,Las Vegas,NV,USA,NA,995.50
10158,22,67.03,1,1474.66,2003-10-10,Shipped,4,10,2003,Motorcycles,Baane Mini Imports,Stavern,\N,Norway,EMEA,1474.66
10172,22,74.51,1,1639.22,2003-11-05,Shipped,4,11,2003,Classic Cars,Gift Depot Inc.,Bridgewater,CT,USA,NA,1639.22
10352,22,75.51,1,1661.22,2004-12-03,Shipped,4,12,2004,Planes,Auto-Moto Classics Inc.,Brickhaven,MA,USA,NA,1661.22
10178,22,87.75,1,1930.50,2003-11-08,Shipped,4,11,2003,Planes,Alpha Cognac,Toulouse,\N,France,EMEA,1930.50
10236,22,100.00,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,Motor Mint Distributors Inc.,Philadelphia,PA,USA,NA,2200.00
10271,22,100.00,1,3070.54,2004-07-20,Shipped,3,7,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,2200.00
10413,22,100.00,1,3387.78,2005-05-05,Shipped,2,5,2005,Classic Cars,Gift Depot Inc.,Bridgewater,CT,USA,NA,2200.00
10374,22,100.00,1,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,Australian Gift Network,Brisbane,South Brisbane,Australia,APAC,2200.00
10362,22,100.00,1,3877.06,2005-01-05,Shipped,1,1,2005,Motorcycles,Technics Stores Inc.,Burlingame,CA,USA,NA,2200.00
10359,22,100.00,1,4301.22,2004-12-15,Shipped,4,12,2004,Trains,Reims Collectables,Reims,\N,France,EMEA,2200.00
10113,23,68.52,1,1575.96,2003-03-26,Shipped,1,3,2003,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,1575.96
10133,23,100.00,1,2642.01,2003-06-27,Shipped,2,6,2003,Motorcycles,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,2300.00
10192,23,100.00,1,3052.33,2003-11-20,Shipped,4,11,2003,Classic Cars,Online Diecast Creations Co.,Nashua,NH,USA,NA,2300.00
10114,24,30.06,1,721.44,2003-04-01,Shipped,2,4,2003,Classic Cars,La Corne D'abondance,Paris,\N,France,EMEA,721.44
10303,24,40.21,1,965.04,2004-10-06,Shipped,4,10,2004,Vintage Cars,Iberia Gift Imports,Sevilla,\N,Spain,EMEA,965.04
10332,24,52.67,1,1264.08,2004-11-17,Shipped,4,11,2004,Vintage Cars,AV Stores,Manchester,Manchester,UK,EMEA,1264.08
10289,24,56.07,1,1345.68,2004-09-03,Shipped,3,9,2004,Vintage Cars,Herkku Gifts,Bergen,Bergen,Norway,EMEA,1345.68
10315,24,86.74,1,2081.76,2004-10-29,Shipped,4,10,2004,Vintage Cars,La Rochelle Gifts,Nantes,Nantes,France,EMEA,2081.76
10325,24,100.00,1,2583.60,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Stavern,\N,Norway,EMEA,2400.00
10164,24,100.00,1,2634.96,2003-10-21,Resolved,4,10,2003,Trucks and Buses,Mini Auto Werke,Graz,\N,Austria,EMEA,2400.00
10280,24,100.00,1,2800.08,2004-08-17,Shipped,3,8,2004,Trucks and Buses,Amica Models & Co.,Torino,\N,Italy,EMEA,2400.00
10253,24,100.00,1,3374.88,2004-06-01,Cancelled,2,6,2004,Classic Cars,UK Collectables,Liverpool,Liverpool,UK,EMEA,2400.00
10295,24,100.00,1,3427.20,2004-09-10,Shipped,3,9,2004,Classic Cars,Gifts4AllAges.com,Boston,MA,USA,NA,2400.00
10310,24,100.00,1,3448.08,2004-10-16,Shipped,4,10,2004,Classic Cars,Toms Spezialitten,Koln,Koln,Germany,EMEA,2400.00
10255,24,100.00,1,3726.00,2004-06-04,Shipped,2,6,2004,Vintage Cars,Mini Caravy,Strasbourg,Strasbourg,France,EMEA,2400.00
10391,24,100.00,1,4042.08,2005-03-09,Shipped,1,3,2005,Vintage Cars,Anna's Decorations,Sydney,North Sydney,Australia,APAC,2400.00
10147,25,42.67,1,1066.75,2003-09-05,Shipped,3,9,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,MA,USA,NA,1066.75
10422,25,51.75,1,1293.75,2005-05-30,In Process,2,5,2005,Vintage Cars,Diecast Classics Inc.,Allentown,PA,USA,NA,1293.75
,25,62.46,1,1561.50,2004-12-17,Shipped,4,12,2004,Planes,Souveniers And Things Co.,Sydney,Chatswood,Australia,APAC,1561.50
10385,25,77.34,1,1933.50,2005-02-28,Shipped,1,2,2005,Ships,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,1933.50
10161,25,80.54,1,2013.50,2003-10-17,Shipped,4,10,2003,Classic Cars,Heintze Collectables,Aaarhus,\N,Denmark,EMEA,2013.50
10316,25,100.00,1,2872.25,2004-11-01,Shipped,4,11,2004,Planes,giftsbymail.co.uk,Cowes,Isle of Wight,UK,EMEA,2500.00
10346,25,100.00,1,2876.75,2004-11-29,Shipped,4,11,2004,Classic Cars,Signal Gift Stores,Las Vegas,NV,USA,NA,2500.00
10201,25,100.00,1,4029.00,2003-12-01,Shipped,4,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,CA,USA,NA,2500.00
10296,26,48.44,1,1259.44,2004-09-15,Shipped,3,9,2004,Vintage Cars,Bavarian Collectables Imports,Munich,Munich,Germany,EMEA,1259.44
10137,26,49.81,1,1295.06,2003-07-10,Shipped,3,7,2003,Classic Cars,Reims Collectables,Reims,\N,France,EMEA,1295.06
10237,26,52.22,1,1357.72,2004-04-05,Shipped,2,4,2004,Motorcycles,Vitachrome Inc.,NYC,NY,USA,NA,1357.72
10119,26,59.22,1,1539.72,2003-04-28,Shipped,2,4,2003,Planes,Salzburg Collectables,Salzburg,\N,Austria,EMEA,1539.72
10279,26,60.58,1,1575.08,2004-08-09,Shipped,3,8,2004,Classic Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,1575.08
10166,26,73.73,1,1916.98,2003-10-21,Shipped,4,10,2003,Vintage Cars,FunGiftIdeas.com,New Bedford,MA,USA,NA,1916.98
10411,26,100.00,1,2904.72,2005-05-01,Shipped,2,5,2005,Trucks and Buses,Quebec Home Shopping Network,Montreal,Quebec,Canada,NA,2600.00
10109,26,100.00,1,3157.44,2003-03-10,Shipped,1,3,2003,Classic Cars,Motor Mint Distributors Inc.,Philadelphia,PA,USA,NA,2600.00
10204,26,100.00,1,3206.32,2003-12-02,Shipped,4,12,2003,Vintage Cars,Muscle Machine Inc,NYC,NY,USA,NA,2600.00
10151,26,100.00,1,3220.10,2003-09-21,Shipped,3,9,2003,Trucks and Buses,Oulu Toy Supplies,Oulu,Oulu,Finland,EMEA,2600.00
10175,26,100.00,1,3543.28,2003-11-06,Shipped,4,11,2003,Trucks and Buses,Stylish Desk Decors,London,London,UK,EMEA,2600.00
10101,26,100.00,1,3773.38,2003-01-09,Shipped,1,1,2003,Vintage Cars,Blauer See Auto,Frankfurt,Frankfurt,Germany,EMEA,2600.00
10371,26,100.00,1,4044.04,2005-01-23,Shipped,1,1,2005,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,2600.00
10379,27,49.30,1,1331.10,2005-02-10,Shipped,1,2,2005,Vintage Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,1331.10
10324,27,54.33,1,1466.91,2004-11-05,Shipped,4,11,2004,Classic Cars,Vitachrome Inc.,NYC,NY,USA,NA,1466.91
10116,27,63.38,1,1711.26,2003-04-11,Shipped,2,4,2003,Trains,Royale Belge,Wallonia,Charleroi,Belgium,EMEA,1711.26
10301,27,72.02,1,1944.54,2003-10-05,Shipped,4,10,2003,Classic Cars,Norway Gifts By Mail,Oslo,\N,Norway,EMEA,1944.54
10388,27,100.00,1,3211.38,2005-03-03,Shipped,1,3,2005,Vintage Cars,FunGiftIdeas.com,New Bedford,MA,USA,NA,2700.00
10261,27,100.00,1,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,Quebec Home Shopping Network,Montreal,Quebec,Canada,NA,2700.00
10353,27,100.00,1,3515.67,2004-12-04,Shipped,4,12,2004,Planes,Gift Ideas Corp.,Glendale,CT,USA,NA,2700.00
10370,27,100.00,1,3911.49,2005-01-20,Shipped,1,1,2005,Trucks and Buses,Anna's Decorations,Sydney,North Sydney,Australia,APAC,2700.00
10247,27,100.00,1,4157.73,2004-05-05,Shipped,2,5,2004,Classic Cars,Suominen Souveniers,Uusimaa,Espoo,Finland,EMEA,2700.00
10220,27,100.00,1,5045.22,2004-02-12,Shipped,1,2,2004,Classic Cars,Clover Collections,Dublin,Dublin,Ireland,EMEA,2700.00
